Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
AFL,227,16,2,33,2.161,0.9713407,9.226337,1.5,-0.15507817,45.35,Financial Services,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":2,"hold":10,"sell":1,"strongSell":1}
ALL,377,133,4,22,0.238,1.2551533,8.517944,1.04,-0.0473454,105.42,Financial Services,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":4,"hold":7,"sell":0,"strongSell":2}
BMY,386,100,87,17,0.384,2.7356281,8.150336,0.44,-0.043779492,60.2,Healthcare,2/3/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":4,"hold":11,"sell":2,"strongSell":0}
CNC,393,6,74,60,4.979,1.3681434,11.098721,0.94,0.011496186,61.31,Healthcare,2/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":7,"hold":5,"sell":0,"strongSell":0}
RE,467,29,124,38,1.328,0.96515167,9.59884,2.63,-0.1619206,235.82,Financial Services,2/7/2021, 6:00:00 PM,{"period":"0m","strongBuy":0,"buy":2,"hold":7,"sell":1,"strongSell":0}
ALXN,504,135,17,35,0.236,2.3923275,9.349305,0.91,0.08628893,118.87,Healthcare,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":12,"hold":3,"sell":0,"strongSell":0}
FOX,563,32,193,77,1.216,1.5879685,12.221277,2.72,-0.19977713,28.685,Communication Services,undefined,{"period":"0m","strongBuy":1,"buy":1,"hold":1,"sell":0,"strongSell":0}
GS,592,51,187,44,0.794,1.0571408,9.945711,1.23,0.052403092,244.4,Financial Services,1/12/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":7,"hold":15,"sell":2,"strongSell":0}
ABBV,594,141,48,24,0.225,12.293642,8.702127,0.94,0.18908644,107.49,Healthcare,2/4/2021, 6:00:00 PM,{"period":"0m","strongBuy":4,"buy":6,"hold":10,"sell":0,"strongSell":0}
CPB,603,47,106,147,0.861,5.165773,15.478688,1.83,-0.015638053,47.31,Consumer Defensive,3/1/2021, 6:00:00 PM,{"period":"0m","strongBuy":0,"buy":2,"hold":10,"sell":4,"strongSell":1}
